"","...1","...2","order_id","customer_id","restaurant_name","cuisine_type","cost_of_the_order","day_of_the_week","rating","food_preparation_time","delivery_time"
"304",304,304,1477723,368663,"Shake Shack","American",12.18,"Weekend","4",23,28
"305",305,305,1478020,128353,"The Meatball Shop","Italian",14.94,"Weekend","5",32,25
"306",306,306,1477729,355713,"RedFarm Broadway","Chinese",14.26,"Weekend","Not given",28,24
"307",307,307,1477312,269793,"Dirty Bird To Go (archived)","American",8.54,"Weekend","Not given",32,30
"308",308,308,1476577,100778,"The Meatball Shop","Italian",12.18,"Weekend","Not given",25,28
"309",309,309,1477032,60052,"Rubirosa","Italian",29.1,"Weekend","5",30,28
"310",310,310,1478221,47280,"Rubirosa","Italian",12.56,"Weekend","4",31,17
"311",311,311,1477747,183520,"Blue Ribbon Sushi","Japanese",9.17,"Weekend","3",25,28
"312",312,312,1477389,391860,"Lucky's Famous Burgers","American",16.2,"Weekend","5",32,27
"313",313,313,1477983,334373,"Five Guys Burgers and Fries","American",14.12,"Weekday","5",23,32
"314",314,314,1477642,370405,"Haveli Indian Restaurant","Indian",5.72,"Weekend","3",24,26
"315",315,315,1478229,64153,"Blue Ribbon Fried Chicken","American",21.34,"Weekend","Not given",35,23
"316",316,316,1477270,314480,"Shake Shack","American",6.79,"Weekend","Not given",20,25
"317",317,317,1477301,232035,"Blue Ribbon Fried Chicken","American",12.18,"Weekend","4",22,29
"318",318,318,1476821,80434,"Bareburger","American",12.18,"Weekend","Not given",33,18
"319",319,319,1476979,81166,"Dos Caminos","Mexican",6.11,"Weekend","5",26,21
"320",320,320,1477762,91397,"Chipotle Mexican Grill $1.99 Delivery","Mexican",14.16,"Weekday","Not given",22,24
"321",321,321,1476906,237592,"Shake Shack","American",5.68,"Weekend","Not given",31,30
"322",322,322,1476867,91879,"da Umberto","Italian",12.27,"Weekday","5",20,30
"323",323,323,1477834,22405,"The Meatball Shop","Italian",20.18,"Weekend","4",32,26
"324",324,324,1477577,290693,"Shake Shack","American",14.02,"Weekend","5",26,21
"325",325,325,1477492,64658,"Blue Ribbon Sushi Bar & Grill","Japanese",16.2,"Weekday","5",27,27
"326",326,326,1476848,365401,"Dirty Bird To Go (archived)","American",15.57,"Weekend","Not given",30,24
"327",327,327,1477870,301032,"Mission Cantina","Mexican",14.45,"Weekend","Not given",27,29
"328",328,328,1477714,100536,"Shake Shack","American",8.15,"Weekend","Not given",26,17
"329",329,329,1478075,232359,"The Meatball Shop","American",29.25,"Weekend","3",21,19
"330",330,330,1477677,181782,"Parm","Italian",8.78,"Weekend","3",23,26
"331",331,331,1476589,146588,"Sushi of Gari","Japanese",15.96,"Weekend","5",23,22
"332",332,332,1477828,360844,"Tamarind TriBeCa","Indian",8.59,"Weekday","5",32,31
"333",333,333,1477680,353606,"P.J. Clarke's","American",15.62,"Weekday","5",27,32
"334",334,334,1477468,109221,"Tortaria","Mexican",13,"Weekday","5",21,24
"335",335,335,1476619,78318,"RedFarm Hudson","Chinese",12.23,"Weekend","4",24,19
"336",336,336,1476702,152786,"Cafe Habana","Mexican",25.22,"Weekday","Not given",32,28
"337",337,337,1478081,118776,"Blue Ribbon Sushi Bar & Grill","Japanese",5.87,"Weekend","4",31,20
"338",338,338,1477598,81110,"Hill Country Fried Chicken","Southern",24.2,"Weekend","4",25,15
"339",339,339,1477624,104336,"Shake Shack","American",19.45,"Weekday","4",28,24
"340",340,340,1476773,92806,"Shake Shack","American",12.18,"Weekend","Not given",29,22
"341",341,341,1478299,130521,"Lucky's Famous Burgers","American",6.01,"Weekend","Not given",33,16
"342",342,342,1477326,52031,"Han Dynasty","Chinese",21.93,"Weekend","Not given",24,20
"343",343,343,1478152,304708,"Parm","Italian",5.92,"Weekend","3",21,25
"344",344,344,1478396,74925,"Cafe Mogador","Middle Eastern",24.2,"Weekend","4",32,22
"345",345,345,1477537,104130,"Blue Ribbon Sushi","Japanese",15.76,"Weekend","Not given",30,26
"346",346,346,1478372,133202,"Sushi Samba","Japanese",6.11,"Weekend","5",30,27
"347",347,347,1478338,150865,"Vanessa's Dumpling House","Chinese",5.72,"Weekend","Not given",20,21
"348",348,348,1477025,331608,"Shake Shack","American",19.4,"Weekend","Not given",30,18
"349",349,349,1477158,363561,"Shake Shack","American",8.49,"Weekday","Not given",33,32
"350",350,350,1477375,235620,"Shake Shack","American",32.93,"Weekend","Not given",32,25
"351",351,351,1478316,118975,"Shake Shack","American",12.23,"Weekend","Not given",20,27
"352",352,352,1476553,128224,"Osteria Morini","Italian",9.17,"Weekend","Not given",25,22
"353",353,353,1478330,109419,"The Meatball Shop","Italian",11.69,"Weekend","Not given",30,21
"354",354,354,1476999,63417,"Pepe Rosso To Go","Italian",24.2,"Weekend","3",27,19
"355",355,355,1476569,55334,"Sushi of Gari Tribeca","Japanese",9.85,"Weekend","Not given",26,17
"356",356,356,1477040,301618,"Vanessa's Dumplings","Chinese",25.22,"Weekday","Not given",32,24
"357",357,357,1476599,47386,"Bubby's","American",22.75,"Weekend","5",32,16
"358",358,358,1476548,122609,"Blue Ribbon Sushi","Japanese",6.84,"Weekend","4",20,30
"359",359,359,1477099,391746,"Blue Ribbon Sushi","Japanese",24.3,"Weekend","4",35,18
"360",360,360,1477508,62027,"Momoya","Japanese",19.35,"Weekend","4",27,28
"361",361,361,1478067,237616,"Shake Shack","American",12.13,"Weekday","3",22,27
"362",362,362,1476946,103526,"Burger Joint","American",9.02,"Weekday","5",24,29
"363",363,363,1477339,68965,"RedFarm Hudson","Chinese",12.18,"Weekend","Not given",20,18
"364",364,364,1477490,232035,"ilili Restaurant","Middle Eastern",9.17,"Weekend","Not given",26,19
"365",365,365,1477135,62359,"Pylos","Mediterranean",19.4,"Weekend","Not given",28,29
"366",366,366,1477931,403833,"Room Service","Thai",6.69,"Weekday","Not given",25,32
"367",367,367,1477822,61588,"Blue Ribbon Sushi","Japanese",5.82,"Weekend","Not given",34,27
"368",368,368,1477360,91907,"Sarabeth's Restaurant","American",12.08,"Weekend","Not given",28,26
"369",369,369,1477163,376578,"Shake Shack","American",15.76,"Weekend","5",32,24
"370",370,370,1476732,212469,"Blue Ribbon Fried Chicken","American",33.03,"Weekend","5",34,24
"371",371,371,1477987,104563,"Blue Ribbon Sushi","Japanese",24.25,"Weekend","4",24,23
"372",372,372,1478315,235818,"Shake Shack","American",12.13,"Weekend","Not given",30,19
"373",373,373,1476941,127149,"Sarabeth's East","American",5.72,"Weekend","Not given",33,26
"374",374,374,1477014,399520,"Xe May Sandwich Shop","Vietnamese",7.96,"Weekend","5",25,29
"375",375,375,1476640,142773,"Hibino","Japanese",14.02,"Weekend","4",28,15
"376",376,376,1478272,318874,"The Kati Roll Company","Indian",14.07,"Weekend","5",33,17
"377",377,377,1477026,355592,"Caf<U+0329> China","Chinese",21.83,"Weekend","4",32,15
"378",378,378,1476897,197265,"Hill Country Fried Chicken","Southern",29.15,"Weekend","Not given",20,17
"379",379,379,1476560,149508,"Shake Shack","American",22.26,"Weekend","4",32,17
"380",380,380,1477007,342882,"Yama Japanese Restaurant","Japanese",5.82,"Weekend","Not given",30,30
"381",381,381,1477958,309981,"Blue Ribbon Fried Chicken","American",29.1,"Weekend","Not given",31,27
"382",382,382,1478102,165695,"The Smile","American",13.39,"Weekend","Not given",20,16
"383",383,383,1478088,77540,"Nobu Next Door","Japanese",9.7,"Weekend","5",30,29
"384",384,384,1478252,94167,"Dos Caminos","Mexican",22.36,"Weekend","Not given",30,26
"385",385,385,1477964,165130,"The Meatball Shop","Italian",12.13,"Weekday","4",22,32
"386",386,386,1477708,141908,"Bareburger","American",6.07,"Weekend","4",23,15
"387",387,387,1476623,277898,"Blue Ribbon Fried Chicken","American",24.3,"Weekend","5",22,26
"388",388,388,1476912,149386,"Yama Japanese Restaurant","Japanese",8.78,"Weekend","4",22,28
"389",389,389,1478104,75722,"Osteria Morini","Italian",24.25,"Weekday","Not given",22,24
"390",390,390,1478065,212326,"RedFarm Broadway","Chinese",20.18,"Weekday","Not given",30,26
"391",391,391,1477196,50123,"Cafe Habana","Mexican",4.85,"Weekend","5",28,22
"392",392,392,1477531,52463,"RedFarm Broadway","Chinese",6.06,"Weekend","3",32,18
"393",393,393,1476580,331143,"Waverly Diner","American",6.84,"Weekend","Not given",24,18
"394",394,394,1477844,134340,"Mira Sushi","Japanese",13.05,"Weekend","4",33,29
"395",395,395,1477192,374286,"Vanessa's Dumpling House","Chinese",5.92,"Weekday","Not given",30,32
"396",396,396,1476618,351749,"Shake Shack","American",12.13,"Weekday","5",30,26
"397",397,397,1477256,196355,"Shake Shack","American",12.18,"Weekday","5",23,31
"398",398,398,1477919,75484,"Five Guys Burgers and Fries","American",29.15,"Weekend","Not given",20,16
"399",399,399,1478120,47440,"Blue Ribbon Fried Chicken","American",8.1,"Weekend","Not given",33,22
"400",400,400,1477791,300549,"Shake Shack","American",7.23,"Weekend","3",29,18
"401",401,401,1477806,195927,"Boqueria","Spanish",12.66,"Weekend","Not given",27,30
"402",402,402,1477631,115519,"The Meatball Shop","Italian",12.23,"Weekend","4",31,28
"403",403,403,1477566,211697,"Shake Shack","American",9.07,"Weekday","4",21,32
"404",404,404,1477156,93797,"ilili Restaurant","Middle Eastern",6.02,"Weekday","Not given",27,29
"405",405,405,1478136,61388,"Five Guys Burgers and Fries","American",14.12,"Weekend","4",27,27
"406",406,406,1477690,370096,"Melt Shop","American",21.93,"Weekend","5",30,18
"407",407,407,1477237,59217,"Jack's Wife Freda","Mediterranean",16.15,"Weekend","4",26,22
"408",408,408,1477107,211697,"Shake Shack","American",7.08,"Weekend","4",25,23
"409",409,409,1478108,87188,"Momoya","Japanese",32.93,"Weekday","3",28,27
"410",410,410,1478047,127934,"Blue Ribbon Fried Chicken","American",12.13,"Weekend","Not given",20,26
"411",411,411,1477535,125123,"S'MAC","American",15.57,"Weekend","5",34,28
"412",412,412,1477517,77793,"The Meatball Shop","Italian",29.15,"Weekend","5",23,30
"413",413,413,1478029,403019,"S'MAC","American",15.47,"Weekday","5",31,32
"414",414,414,1476585,141918,"S'MAC","American",12.37,"Weekend","4",30,28
"415",415,415,1477620,148320,"Tamarind TriBeCa","Indian",16.49,"Weekday","Not given",31,28
"416",416,416,1476664,164016,"Blue Ribbon Fried Chicken","American",24.3,"Weekday","5",20,27
"417",417,417,1478422,197832,"The Meatball Shop","Italian",14.84,"Weekend","Not given",20,28
"418",418,418,1477482,114919,"Yama Japanese Restaurant","Japanese",25.27,"Weekend","Not given",30,16
"419",419,419,1477271,94152,"The Meatball Shop","Italian",17.08,"Weekday","5",22,26
"420",420,420,1477094,384571,"Blue Ribbon Fried Chicken","American",22.31,"Weekday","5",28,27
"421",421,421,1477722,347263,"Dos Caminos","Mexican",12.08,"Weekday","5",26,26
"422",422,422,1476831,169478,"RedFarm Broadway","Chinese",12.61,"Weekend","4",32,17
"423",423,423,1477843,241719,"Blue Ribbon Sushi Izakaya","Japanese",13.1,"Weekday","5",24,28
"424",424,424,1477323,59181,"RedFarm Hudson","Chinese",12.13,"Weekend","5",28,29
"425",425,425,1477066,376381,"Shake Shack","American",8.25,"Weekend","Not given",30,15
"426",426,426,1477914,366975,"Blue Ribbon Sushi Bar & Grill","Japanese",16.39,"Weekend","Not given",31,18
"427",427,427,1478064,221430,"Han Dynasty","Chinese",14.75,"Weekend","Not given",30,16
"428",428,428,1477711,67647,"J. G. Melon","American",12.66,"Weekend","4",23,20
"429",429,429,1477410,39011,"Mamoun's Falafel","Mediterranean",9.07,"Weekend","Not given",20,24
"430",430,430,1477278,347263,"Hummus Place","Middle Eastern",16.15,"Weekend","4",30,28
"431",431,431,1477663,93133,"Nobu Next Door","Japanese",29.29,"Weekday","4",30,24
"432",432,432,1477195,64830,"Cafeteria","American",20.47,"Weekday","3",32,24
"433",433,433,1477737,104548,"Tarallucci e Vino Restaurant","Italian",11.59,"Weekend","Not given",21,15
"434",434,434,1477058,65779,"The Kati Roll Company","Indian",24.35,"Weekday","Not given",33,29
"435",435,435,1476996,149984,"Sushi of Gari 46","Japanese",16.44,"Weekend","4",24,27
"436",436,436,1477193,304291,"P.J. Clarke's","American",5.92,"Weekday","3",33,30
"437",437,437,1476596,199735,"The Meatball Shop","Italian",14.12,"Weekend","Not given",32,18
"438",438,438,1477154,143796,"S'MAC","American",5.92,"Weekday","4",34,30
"439",439,439,1478278,42755,"Blue Ribbon Fried Chicken","American",13,"Weekend","Not given",29,30
"440",440,440,1478355,68103,"The Meatball Shop","Italian",21.83,"Weekend","4",30,20
"441",441,441,1476557,348787,"Otto Enoteca Pizzeria","Italian",16.15,"Weekend","Not given",35,22
"442",442,442,1477264,35774,"The Meatball Shop","Italian",12.23,"Weekday","Not given",28,33
"443",443,443,1476806,203370,"Chipotle Mexican Grill $1.99 Delivery","Mexican",24.3,"Weekday","Not given",21,33
"444",444,444,1478000,167136,"ilili Restaurant","Middle Eastern",29.05,"Weekend","Not given",24,29
"445",445,445,1478159,57943,"Shake Shack","American",15.76,"Weekend","3",35,29
"446",446,446,1476910,397362,"TAO","Japanese",8.1,"Weekend","5",32,16
"447",447,447,1476660,47280,"Blue Ribbon Sushi","Japanese",12.18,"Weekend","5",34,29
"448",448,448,1477558,268365,"Cafe Mogador","Middle Eastern",25.17,"Weekend","4",23,30
"449",449,449,1477458,114247,"Shake Shack","American",20.23,"Weekend","Not given",32,18
"450",450,450,1477233,110138,"Saravanaa Bhavan","Indian",9.12,"Weekday","5",28,28
"451",451,451,1477772,91958,"TAO","Japanese",12.18,"Weekday","Not given",26,33
"452",452,452,1477319,145389,"Westville Hudson","American",20.23,"Weekday","Not given",31,29
"453",453,453,1477731,122609,"Blue Ribbon Sushi Izakaya","Japanese",24.25,"Weekend","5",33,21
"454",454,454,1477571,121476,"Blue Ribbon Fried Chicken","American",16.2,"Weekend","Not given",32,23
"455",455,455,1477274,96877,"Melt Shop","American",9.12,"Weekday","Not given",29,33
"456",456,456,1477276,304449,"Friend of a Farmer","American",9.75,"Weekend","Not given",26,30
"457",457,457,1478046,53289,"The Loop","Japanese",31.38,"Weekend","4",26,24
"458",458,458,1478398,137617,"Blue Ribbon Fried Chicken","American",24.3,"Weekend","5",34,21
"459",459,459,1477991,69713,"The Meatball Shop","Italian",19.35,"Weekend","5",21,23
"460",460,460,1478267,93065,"Han Dynasty","Chinese",14.16,"Weekend","Not given",30,23
"461",461,461,1477901,353676,"indikitch","Indian",9.26,"Weekend","5",33,26
"462",462,462,1478247,104555,"Sushi of Gari","Japanese",32.98,"Weekend","4",34,21
"463",463,463,1477875,154022,"Blue Ribbon Sushi Bar & Grill","Japanese",12.18,"Weekend","5",22,18
"464",464,464,1476749,351799,"Sushi of Gari Tribeca","Japanese",9.55,"Weekend","4",35,25
"465",465,465,1477600,347263,"Hangawi","Korean",6.74,"Weekend","Not given",21,22
"466",466,466,1477500,152786,"Cafe Habana","Mexican",14.07,"Weekend","4",26,21
"467",467,467,1477498,103500,"RedFarm Hudson","Chinese",14.02,"Weekend","Not given",29,22
"468",468,468,1478337,100527,"Empanada Mama (closed)","Mexican",5.92,"Weekday","3",34,25
"469",469,469,1476736,60835,"Nobu Next Door","Japanese",12.46,"Weekend","4",35,28
"470",470,470,1477372,55227,"Sushi of Gari Tribeca","Japanese",29.2,"Weekend","5",32,22
"471",471,471,1477126,41409,"Nobu Next Door","Japanese",15.76,"Weekday","Not given",33,31
"472",472,472,1478158,232035,"Balade","Middle Eastern",9.22,"Weekday","5",25,24
"473",473,473,1476586,173667,"Osteria Morini","Italian",8.88,"Weekend","Not given",34,26
"474",474,474,1477951,242689,"The Odeon","American",13.92,"Weekend","Not given",34,23
"475",475,475,1477472,67845,"RedFarm Hudson","Chinese",29.34,"Weekend","5",27,29
"476",476,476,1476738,233614,"Yama 49","Japanese",22.36,"Weekend","Not given",33,25
"477",477,477,1477445,97079,"Donburi-ya","Japanese",5.77,"Weekend","Not given",27,29
"478",478,478,1477738,97346,"Osteria Morini","Italian",12.13,"Weekend","5",22,26
"479",479,479,1477403,87603,"The Meatball Shop","American",6.69,"Weekend","4",27,27
"480",480,480,1477392,203370,"Chipotle Mexican Grill $1.99 Delivery","Mexican",15.57,"Weekend","4",31,20
"481",481,481,1476877,53289,"The Loop","Japanese",4.66,"Weekend","Not given",34,25
"482",482,482,1477877,360844,"RedFarm Broadway","Chinese",19.35,"Weekend","5",33,18
"483",483,483,1477586,84087,"The Meatball Shop","Italian",8.78,"Weekday","5",34,33
"484",484,484,1477936,133202,"Blue Ribbon Sushi","Japanese",9.17,"Weekend","Not given",27,29
"485",485,485,1478209,63141,"Shake Shack","American",29.1,"Weekend","Not given",23,28
"486",486,486,1477643,139827,"RedFarm Hudson","Chinese",5.77,"Weekend","4",33,28
"487",487,487,1477809,148499,"Posto","Italian",24.25,"Weekend","Not given",23,25
"488",488,488,1478380,110091,"The Meatball Shop","Italian",9.41,"Weekday","5",30,32
"489",489,489,1477516,52256,"Han Dynasty","Chinese",29.15,"Weekend","Not given",31,19
"490",490,490,1476915,142273,"Pepe Rosso To Go","Italian",15.57,"Weekend","5",29,27
"491",491,491,1478109,87006,"Nobu Next Door","Japanese",11.59,"Weekend","5",26,24
"492",492,492,1476914,141445,"Parm","Italian",16.3,"Weekend","3",26,23
"493",493,493,1477463,66505,"Mamoun's Falafel","Mediterranean",12.18,"Weekday","5",25,30
"494",494,494,1477521,113972,"RedFarm Hudson","Chinese",12.08,"Weekday","Not given",21,26
"495",495,495,1477427,291891,"The Kati Roll Company","Indian",17.03,"Weekend","5",24,22
"496",496,496,1476944,105614,"Terakawa Ramen","Japanese",8.54,"Weekday","3",27,25
"497",497,497,1477929,87006,"Nobu Next Door","Japanese",6.74,"Weekend","Not given",31,29
"498",498,498,1477220,41249,"Kambi Ramen House","Japanese",32.93,"Weekend","5",35,19
"499",499,499,1476866,42018,"Blue Ribbon Sushi","Japanese",12.18,"Weekday","Not given",34,32
"500",500,500,1477037,79215,"Blue Ribbon Sushi","Japanese",12.23,"Weekend","3",33,21
"501",501,501,1477495,92806,"Shake Shack","American",14.94,"Weekday","Not given",33,31
"502",502,502,1477248,349123,"Shake Shack","American",12.95,"Weekday","5",20,30
"503",503,503,1476740,60873,"Jack's Wife Freda","Mediterranean",25.17,"Weekday","4",31,25
"504",504,504,1477238,87727,"Blue Ribbon Sushi","Japanese",13.87,"Weekend","Not given",28,28
"505",505,505,1478052,77544,"Shake Shack","American",24.3,"Weekend","4",35,16
"506",506,506,1477130,365469,"Wo Hop Restaurant","Chinese",14.16,"Weekend","4",22,16
"507",507,507,1477856,143984,"The Smile","American",25.17,"Weekend","3",31,15
"508",508,508,1477592,87357,"Shake Shack","American",31.43,"Weekend","5",30,19
"509",509,509,1477659,54093,"Shake Shack","American",13,"Weekend","Not given",20,18
"510",510,510,1477661,122852,"Blue Ribbon Fried Chicken","American",24.2,"Weekend","Not given",28,29
"511",511,511,1477230,284455,"Shake Shack","American",12.66,"Weekend","5",35,24
"512",512,512,1476624,117810,"Momoya","Japanese",6.84,"Weekday","Not given",21,24
"513",513,513,1477832,100778,"Spice Thai","Thai",15.86,"Weekend","Not given",34,25
"514",514,514,1477749,362842,"Cafe Habana","Mexican",9.75,"Weekday","5",34,30
"515",515,515,1478037,97346,"da Umberto","Italian",7.61,"Weekend","Not given",23,26
"516",516,516,1477109,208020,"Sushi of Gari 46","Japanese",29.05,"Weekend","Not given",21,23
"517",517,517,1476902,165110,"Room Service","Thai",22.31,"Weekend","Not given",22,15
"518",518,518,1476916,52832,"Dickson's Farmstand Meats","American",15.72,"Weekend","4",23,28
"519",519,519,1476703,405334,"TAO","Japanese",25.22,"Weekend","Not given",26,16
"520",520,520,1477785,77306,"Xi'an Famous Foods","Chinese",24.3,"Weekend","4",32,29
"521",521,521,1476650,88201,"J. G. Melon","American",8.35,"Weekend","5",29,23
"522",522,522,1476643,88185,"Momoya","Japanese",22.85,"Weekend","4",32,17
"523",523,523,1477371,369452,"UVA Wine Bar & Restaurant","Italian",29.15,"Weekend","Not given",29,30
"524",524,524,1476994,141576,"Blue Ribbon Sushi Bar & Grill","Japanese",19.35,"Weekday","5",23,28
"525",525,525,1476934,126134,"Jack's Wife Freda","Mediterranean",32.93,"Weekend","3",21,16
"526",526,526,1476954,97370,"Momoya","Japanese",14.21,"Weekend","Not given",24,30
"527",527,527,1478160,52832,"Donburi-ya","Japanese",15.86,"Weekday","5",28,28
"528",528,528,1478228,86233,"TAO","Japanese",15.28,"Weekend","4",33,22
"529",529,529,1478002,348096,"The Meatball Shop","Italian",12.13,"Weekend","5",34,16
"530",530,530,1478112,232542,"The Meatball Shop","Italian",22.36,"Weekend","4",35,21
"531",531,531,1478114,237616,"Shake Shack","American",5.68,"Weekend","Not given",26,18
"532",532,532,1477400,68775,"Sushi of Gari Tribeca","Japanese",29.15,"Weekend","4",22,17
"533",533,533,1478274,374826,"Waverly Diner","American",22.8,"Weekend","4",25,21
"534",534,534,1477804,381020,"The Meatball Shop","Italian",19.45,"Weekend","5",21,19
"535",535,535,1477572,150865,"Vanessa's Dumpling House","Chinese",15.52,"Weekend","5",20,23
"536",536,536,1476904,60845,"Blue Ribbon Sushi","Japanese",25.27,"Weekend","3",20,20
"537",537,537,1477336,94480,"The Meatball Shop","Italian",32.93,"Weekend","5",34,29
"538",538,538,1476929,61181,"S'MAC","American",24.2,"Weekend","Not given",28,17
"539",539,539,1477812,93505,"Rubirosa","Italian",24.2,"Weekend","5",31,15
"540",540,540,1477210,182080,"Shake Shack","American",14.65,"Weekday","Not given",26,33
"541",541,541,1477873,370053,"Shake Shack","American",12.08,"Weekend","3",29,24
"542",542,542,1477858,60052,"Rubirosa","Italian",5.77,"Weekend","Not given",27,21
"543",543,543,1477788,270444,"P.J. Clarke's","American",4.71,"Weekend","Not given",23,15
"544",544,544,1476711,106968,"Blue Ribbon Fried Chicken","American",8.78,"Weekend","Not given",22,26
"545",545,545,1477997,186473,"Blue Ribbon Sushi Izakaya","Japanese",12.23,"Weekend","3",34,25
"546",546,546,1477523,53503,"RedFarm Broadway","Chinese",12.23,"Weekend","4",21,21
"547",547,547,1476572,356195,"Blue Ribbon Fried Chicken","American",29.15,"Weekday","5",20,29
"548",548,548,1476895,105460,"Burger Joint","American",13.1,"Weekend","Not given",22,18
"549",549,549,1478236,121905,"Chipotle Mexican Grill $1.99 Delivery","Mexican",22.26,"Weekend","4",21,21
"550",550,550,1476628,70456,"Parm","Italian",12.56,"Weekday","Not given",32,28
"551",551,551,1476927,62626,"Sushi of Gari 46","Japanese",13.05,"Weekend","Not given",24,22
"552",552,552,1477547,242754,"Rubirosa","Italian",13.92,"Weekend","Not given",29,27
"553",553,553,1478349,229946,"Balthazar Boulangerie","French",21.39,"Weekend","Not given",35,29
"554",554,554,1477850,216438,"Blue Ribbon Sushi","Japanese",29.25,"Weekend","Not given",33,17
"555",555,555,1478048,101202,"Burger Joint","American",12.18,"Weekend","4",35,15
"556",556,556,1477133,175290,"Shake Shack","American",12.18,"Weekend","Not given",26,25
"557",557,557,1476746,201471,"ilili Restaurant","Middle Eastern",12.66,"Weekend","5",21,15
"558",558,558,1477724,80531,"RedFarm Hudson","Chinese",12.18,"Weekend","Not given",24,27
"559",559,559,1476911,74707,"Bareburger","American",8.63,"Weekend","4",21,22
"560",560,560,1478292,334373,"Tamarind TriBeCa","Indian",12.18,"Weekend","Not given",26,30
"561",561,561,1478024,241719,"Sushi of Gari Tribeca","Japanese",14.12,"Weekend","Not given",21,29
"562",562,562,1478281,58898,"Blue Ribbon Sushi","Japanese",16.93,"Weekend","4",30,25
"563",563,563,1478009,379538,"Parm","Italian",6.79,"Weekend","3",21,30
"564",564,564,1476898,174437,"Han Dynasty","Chinese",29.2,"Weekend","Not given",26,30
"565",565,565,1477285,325285,"RedFarm Broadway","Chinese",14.02,"Weekday","Not given",25,26
"566",566,566,1478335,84502,"Nobu Next Door","Japanese",25.17,"Weekend","4",31,29
"567",567,567,1477934,60052,"RedFarm Broadway","Chinese",12.61,"Weekend","5",28,21
"568",568,568,1476645,140477,"Serafina Fabulous Pizza","Italian",13.68,"Weekend","5",20,20
"569",569,569,1477450,79215,"Blue Ribbon Sushi","Japanese",11.93,"Weekend","3",24,21
"570",570,570,1477657,177078,"Lantern Thai Kitchen","Thai",13.97,"Weekend","Not given",28,29
"571",571,571,1478135,276431,"The Meatball Shop","Italian",14.02,"Weekday","5",20,27
"572",572,572,1477254,58898,"Blue Ribbon Sushi","Japanese",8.1,"Weekend","5",35,18
"573",573,573,1477705,60397,"Jack's Wife Freda","Mediterranean",12.18,"Weekend","3",33,23
"574",574,574,1477814,62359,"Pylos","Mediterranean",35.41,"Weekday","4",21,29
"575",575,575,1478059,53947,"Gaia Italian Cafe","Italian",8.78,"Weekend","Not given",25,15
"576",576,576,1478192,54365,"Shake Shack","American",16.25,"Weekend","5",27,23
"577",577,577,1477743,104130,"Blue Ribbon Sushi","Japanese",6.64,"Weekend","Not given",23,15
"578",578,578,1477203,60138,"The Meatball Shop","American",15.86,"Weekday","5",29,26
"579",579,579,1477292,386766,"Parm","Italian",17.03,"Weekday","3",21,27
"580",580,580,1477178,47440,"Bareburger","American",24.2,"Weekend","4",23,23
"581",581,581,1478283,167986,"J. G. Melon","American",8.25,"Weekday","3",34,33
"582",582,582,1477321,89844,"Five Guys Burgers and Fries","American",12.08,"Weekend","Not given",20,18
"583",583,583,1477322,355592,"Caf<U+0329> China","Chinese",12.13,"Weekend","Not given",27,25
"584",584,584,1477879,362961,"ilili Restaurant","Middle Eastern",16.49,"Weekend","4",30,28
"585",585,585,1476741,318095,"Blue Ribbon Sushi Izakaya","Japanese",6.79,"Weekend","5",32,30
"586",586,586,1478303,72639,"Sushi of Gari","Japanese",10.72,"Weekday","Not given",30,26
"587",587,587,1476647,294246,"Piccolo Angolo","Italian",19.35,"Weekend","Not given",29,29
"588",588,588,1476669,142677,"Chola Eclectic Indian Cuisine","Indian",8.73,"Weekend","5",30,28
"589",589,589,1477049,175101,"TAO","Japanese",9.65,"Weekend","4",25,18
"590",590,590,1477602,320493,"Vanessa's Dumplings","Chinese",16.78,"Weekend","5",27,29
"591",591,591,1477088,129486,"Mamoun's Falafel","Mediterranean",12.61,"Weekend","4",21,17
"592",592,592,1476964,81405,"RedFarm Broadway","Chinese",24.25,"Weekend","5",29,22
"593",593,593,1477981,154464,"Westville Hudson","American",11.16,"Weekend","4",24,20
"594",594,594,1476717,151191,"Pongsri Thai","Thai",20.18,"Weekday","Not given",23,25
"595",595,595,1477851,66373,"Blue Ribbon Sushi Izakaya","Japanese",32.93,"Weekend","4",21,19
"596",596,596,1478063,367093,"Parm","Italian",15.86,"Weekday","Not given",30,24
"597",597,597,1477636,94909,"Parm","Italian",12.13,"Weekend","4",29,26
"598",598,598,1477763,111356,"Blue Ribbon Sushi","Japanese",13.87,"Weekday","Not given",31,30
"599",599,599,1477944,70564,"Rubirosa","Italian",14.12,"Weekday","3",26,27
"600",600,600,1478073,121686,"TAO","Japanese",24.25,"Weekend","4",22,21
"601",601,601,1478357,142356,"Blue Ribbon Sushi","Japanese",14.07,"Weekday","Not given",35,29
"602",602,602,1478055,7567,"indikitch","Indian",5.58,"Weekend","Not given",35,30
"603",603,603,1476815,39029,"Prosperity Dumpling","Chinese",13.63,"Weekend","5",25,24
"604",604,604,1477019,62359,"RedFarm Hudson","Chinese",15.52,"Weekend","5",30,18
"605",605,605,1477159,283310,"Shake Shack","American",8.73,"Weekend","Not given",35,17
"606",606,606,1478409,151333,"Melt Shop","American",25.27,"Weekend","5",27,30
"607",607,607,1477471,103147,"Hot Kitchen","Chinese",29.54,"Weekend","5",34,28
"608",608,608,1476747,115213,"Junoon","Indian",9.22,"Weekday","Not given",30,32
